"rank","title","rating","year","runTime","genre","votes","gross","staff","description"
"18.","Harry Potter and the Deathly Hallows: Part 2","8.1","(2011)","130 min","
Adventure, Drama, Fantasy            ","729,914","$381.01M","
    Director:
David Yates
                 | 
    Stars:
Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Michael Gambon
    ","
    Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
"19.","Iron Man Three","7.2","(2013)","130 min","
Action, Adventure, Sci-Fi            ","729,556","$409.01M","
    Director:
Shane Black
                 | 
    Stars:
Robert Downey Jr., 
Guy Pearce, 
Gwyneth Paltrow, 
Don Cheadle
    ","
    When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
"20.","Toy Story 3","8.3","(2010)","103 min","
Animation, Adventure, Comedy            ","728,359","$415.00M","
    Director:
Lee Unkrich
                 | 
    Stars:
Tom Hanks, 
Tim Allen, 
Joan Cusack, 
Ned Beatty
    ","
    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
"21.","The Martian","8.0","(2015)","144 min","
Adventure, Drama, Sci-Fi            ","726,595","$228.43M","
    Director:
Ridley Scott
                 | 
    Stars:
Matt Damon, 
Jessica Chastain, 
Kristen Wiig, 
Kate Mara
    ","
    An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
"22.","The Intouchables","8.5","(2011)","112 min","
Biography, Comedy, Drama            ","723,443","$13.18M","
    Directors:
Olivier Nakache, 
¨¦ric Toledano
                 | 
    Stars:
Fran<U+00E7>ois Cluzet, 
Omar Sy, 
Anne Le Ny, 
Audrey Fleurot
    ","
    After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
"23.","Thor","7.0","(2011)","115 min","
Action, Adventure, Fantasy            ","720,662","$181.03M","
    Director:
Kenneth Branagh
                 | 
    Stars:
Chris Hemsworth, 
Anthony Hopkins, 
Natalie Portman, 
Tom Hiddleston
    ","
    The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
"24.","Captain America: The First Avenger","6.9","(2011)","124 min","
Action, Adventure, Sci-Fi            ","711,122","$176.65M","
    Director:
Joe Johnston
                 | 
    Stars:
Chris Evans, 
Hugo Weaving, 
Samuel L. Jackson, 
Hayley Atwell
    ","
    Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
"25.","Avengers: Age of Ultron","7.3","(2015)","141 min","
Action, Adventure, Sci-Fi            ","710,367","$459.01M","
    Director:
Joss Whedon
                 | 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth
    ","
    When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
"26.","Avengers: Endgame","8.4","(2019)","181 min","
Action, Adventure, Drama            ","709,103","$858.37M","
    Directors:
Anthony Russo, 
Joe Russo
                 | 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth
    ","
    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
"27.","Captain America: The Winter Soldier","7.7","(2014)","136 min","
Action, Adventure, Sci-Fi            ","707,813","$259.77M","
    Directors:
Anthony Russo, 
Joe Russo
                 | 
    Stars:
Chris Evans, 
Samuel L. Jackson, 
Scarlett Johansson, 
Robert Redford
    ","
    As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
"28.","Iron Man 2","7.0","(2010)","124 min","
Action, Adventure, Sci-Fi            ","695,765","$312.43M","
    Director:
Jon Favreau
                 | 
    Stars:
Robert Downey Jr., 
Mickey Rourke, 
Gwyneth Paltrow, 
Don Cheadle
    ","
    With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
"29.","Black Swan","8.0","(2010)","108 min","
Drama, Thriller            ","677,348","$106.95M","
    Director:
Darren Aronofsky
                 | 
    Stars:
Natalie Portman, 
Mila Kunis, 
Vincent Cassel, 
Winona Ryder
    ","
    A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
"30.","The Grand Budapest Hotel","8.1","(2014)","99 min","
Adventure, Comedy, Crime            ","673,715","$59.10M","
    Director:
Wes Anderson
                 | 
    Stars:
Ralph Fiennes, 
F. Murray Abraham, 
Mathieu Amalric, 
Adrien Brody
    ","
    A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
"31.","Whiplash","8.5","(2014)","106 min","
Drama, Music            ","672,767","$13.09M","
    Director:
Damien Chazelle
                 | 
    Stars:
Miles Teller, 
J.K. Simmons, 
Melissa Benoist, 
Paul Reiser
    ","
    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
"32.","The Revenant","8.0","(2015)","156 min","
Action, Adventure, Biography            ","670,966","$183.64M","
    Director:
Alejandro G. I<U+00F1>¨¢rritu
                 | 
    Stars:
Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson
    ","
    A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team."
"33.","Man of Steel","7.0","(2013)","143 min","
Action, Adventure, Sci-Fi            ","670,842","$291.05M","
    Director:
Zack Snyder
                 | 
    Stars:
Henry Cavill, 
Amy Adams, 
Michael Shannon, 
Diane Lane
    ","
    An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when survivors of his home planet invade Earth."
"34.","The Imitation Game","8.0","(2014)","114 min","
Biography, Drama, Thriller            ","654,669","$91.13M","
    Director:
Morten Tyldum
                 | 
    Stars:
Benedict Cumberbatch, 
Keira Knightley, 
Matthew Goode, 
Allen Leech
    ","
    During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians."
"35.","X-Men: Days of Future Past","8.0","(2014)","132 min","
Action, Adventure, Sci-Fi            ","643,580","$233.92M","
    Director:
Bryan Singer
                 | 
    Stars:
Patrick Stewart, 
Ian McKellen, 
Hugh Jackman, 
James McAvoy
    ","
    The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants."
"36.","Silver Linings Playbook","7.7","(2012)","122 min","
Comedy, Drama, Romance            ","643,339","$132.09M","
    Director:
David O. Russell
                 | 
    Stars:
Bradley Cooper, 
Jennifer Lawrence, 
Robert De Niro, 
Jacki Weaver
    ","
    After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
"37.","How to Train Your Dragon","8.1","(2010)","98 min","
Animation, Action, Adventure            ","641,710","$217.58M","
    Directors:
Dean DeBlois, 
Chris Sanders
                 | 
    Stars:
Jay Baruchel, 
Gerard Butler, 
Christopher Mintz-Plasse, 
Craig Ferguson
    ","
    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
"38.","Captain America: Civil War","7.8","(2016)","147 min","
Action, Adventure, Sci-Fi            ","631,368","$408.08M","
    Directors:
Anthony Russo, 
Joe Russo
                 | 
    Stars:
Chris Evans, 
Robert Downey Jr., 
Scarlett Johansson, 
Sebastian Stan
    ","
    Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man."
"39.","X: First Class","7.7","(2011)","131 min","
Action, Adventure, Sci-Fi            ","630,670","$146.41M","
    Director:
Matthew Vaughn
                 | 
    Stars:
James McAvoy, 
Michael Fassbender, 
Jennifer Lawrence, 
Kevin Bacon
    ","
    In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
"40.","The King's Speech","8.0","(2010)","118 min","
Biography, Drama, History            ","620,117","$138.80M","
    Director:
Tom Hooper
                 | 
    Stars:
Colin Firth, 
Geoffrey Rush, 
Helena Bonham Carter, 
Derek Jacobi
    ","
    The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
"41.","Skyfall","7.7","(2012)","143 min","
Action, Adventure, Thriller            ","613,968","$304.36M","
    Director:
Sam Mendes
                 | 
    Stars:
Daniel Craig, 
Javier Bardem, 
Naomie Harris, 
Judi Dench
    ","
    James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
"42.","Logan","8.1","(2017)","137 min","
Action, Drama, Sci-Fi            ","612,707","$226.28M","
    Director:
James Mangold
                 | 
    Stars:
Hugh Jackman, 
Patrick Stewart, 
Dafne Keen, 
Boyd Holbrook
    ","
    In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
"43.","12 Years a Slave","8.1","(2013)","134 min","
Biography, Drama, History            ","612,517","$56.67M","
    Director:
Steve McQueen
                 | 
    Stars:
Chiwetel Ejiofor, 
Michael Kenneth Williams, 
Michael Fassbender, 
Brad Pitt
    ","
    In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
"44.","Batman v Superman: Dawn of Justice","6.5","(2016)","151 min","
Action, Adventure, Sci-Fi            ","603,266","$330.36M","
    Director:
Zack Snyder
                 | 
    Stars:
Ben Affleck, 
Henry Cavill, 
Amy Adams, 
Jesse Eisenberg
    ","
    Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
"45.","The Social Network","7.7","(2010)","120 min","
Biography, Drama            ","597,400","$96.96M","
    Director:
David Fincher
                 | 
    Stars:
Jesse Eisenberg, 
Andrew Garfield, 
Justin Timberlake, 
Rooney Mara
    ","
    As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business."
"46.","The Hunger Games: Catching Fire","7.5","(2013)","146 min","
Action, Adventure, Mystery            ","595,810","$424.67M","
    Director:
Francis Lawrence
                 | 
    Stars:
Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Philip Seymour Hoffman
    ","
    Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem."
"47.","The Hobbit: The Desolation of Smaug","7.8","(2013)","161 min","
Adventure, Fantasy            ","584,784","$258.37M","
    Director:
Peter Jackson
                 | 
    Stars:
Ian McKellen, 
Martin Freeman, 
Richard Armitage, 
Ken Stott
    ","
    The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
"48.","World War Z","7.0","(2013)","116 min","
Action, Adventure, Horror            ","582,077","$202.36M","
    Director:
Marc Forster
                 | 
    Stars:
Brad Pitt, 
Mireille Enos, 
Daniella Kertesz, 
James Badge Dale
    ","
    Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself."
"49.","Inside Out","8.1","(I) (2015)","95 min","
Animation, Adventure, Comedy            ","579,351","$356.46M","
    Directors:
Pete Docter, 
Ronnie Del Carmen
                 | 
    Stars:
Amy Poehler, 
Bill Hader, 
Lewis Black, 
Mindy Kaling
    ","
    After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
"50.","Black Panther","7.3","(2018)","134 min","
Action, Adventure, Sci-Fi            ","578,835","$700.06M","
    Director:
Ryan Coogler
                 | 
    Stars:
Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira
    ","
    T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
"51.","Now You See Me","7.3","(I) (2013)","115 min","
Crime, Mystery, Thriller            ","576,836","$117.72M","
    Director:
Louis Leterrier
                 | 
    Stars:
Jesse Eisenberg, 
Common, 
Mark Ruffalo, 
Woody Harrelson
    ","
    An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."
"52.","Edge of Tomorrow","7.9","(2014)","113 min","
Action, Adventure, Sci-Fi            ","576,186","$100.21M","
    Director:
Doug Liman
                 | 
    Stars:
Tom Cruise, 
Emily Blunt, 
Bill Paxton, 
Brendan Gleeson
    ","
    A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
"53.","Suicide Squad","6.0","(2016)","123 min","
Action, Adventure, Fantasy            ","575,893","$325.10M","
    Director:
David Ayer
                 | 
    Stars:
Will Smith, 
Jared Leto, 
Margot Robbie, 
Viola Davis
    ","
    A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse."
"54.","Thor: The Dark World","6.9","(2013)","112 min","
Action, Adventure, Fantasy            ","573,146","$206.36M","
    Director:
Alan Taylor
                 | 
    Stars:
Chris Hemsworth, 
Natalie Portman, 
Tom Hiddleston, 
Stellan Skarsg<U+00E5>rd
    ","
    When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster."
"55.","Kingsman: The Secret Service","7.7","(2014)","129 min","
Action, Adventure, Comedy            ","571,251","$128.26M","
    Director:
Matthew Vaughn
                 | 
    Stars:
Colin Firth, 
Taron Egerton, 
Samuel L. Jackson, 
Michael Caine
    ","
    A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
"56.","Prisoners","8.1","(2013)","153 min","
Crime, Drama, Mystery            ","566,771","$61.00M","
    Director:
Denis Villeneuve
                 | 
    Stars:
Hugh Jackman, 
Jake Gyllenhaal, 
Viola Davis, 
Melissa Leo
    ","
    When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
"57.","Doctor Strange","7.5","(2016)","115 min","
Action, Adventure, Fantasy            ","565,514","$232.64M","
    Director:
Scott Derrickson
                 | 
    Stars:
Benedict Cumberbatch, 
Chiwetel Ejiofor, 
Rachel McAdams, 
Benedict Wong
    ","
    While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
"58.","Life of Pi","7.9","(2012)","127 min","
Adventure, Drama, Fantasy            ","561,899","$124.99M","
    Director:
Ang Lee
                 | 
    Stars:
Suraj Sharma, 
Irrfan Khan, 
Adil Hussain, 
Tabu
    ","
    A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
"59.","Jurassic World","7.0","(2015)","124 min","
Action, Adventure, Sci-Fi            ","561,550","$652.27M","
    Director:
Colin Trevorrow
                 | 
    Stars:
Chris Pratt, 
Bryce Dallas Howard, 
Ty Simpkins, 
Judy Greer
    ","
    A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree."
"60.","Arrival","7.9","(II) (2016)","116 min","
Drama, Mystery, Sci-Fi            ","561,247","$100.55M","
    Director:
Denis Villeneuve
                 | 
    Stars:
Amy Adams, 
Jeremy Renner, 
Forest Whitaker, 
Michael Stuhlbarg
    ","
    A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world."
"61.","Argo","7.7","(2012)","120 min","
Biography, Drama, Thriller            ","556,491","$136.03M","
    Director:
Ben Affleck
                 | 
    Stars:
Ben Affleck, 
Bryan Cranston, 
John Goodman, 
Alan Arkin
    ","
    Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
"62.","Ted","6.9","(2012)","106 min","
Comedy            ","556,166","$218.82M","
    Director:
Seth MacFarlane
                 | 
    Stars:
Mark Wahlberg, 
Mila Kunis, 
Seth MacFarlane, 
Joel McHale
    ","
    John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori."
"63.","Birdman or (The Unexpected Virtue of Ignorance)","7.7","(2014)","119 min","
Comedy, Drama            ","555,404","$42.34M","
    Director:
Alejandro G. I<U+00F1>¨¢rritu
                 | 
    Stars:
Michael Keaton, 
Zach Galifianakis, 
Edward Norton, 
Andrea Riseborough
    ","
    A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
"64.","Prometheus","7.0","(I) (2012)","124 min","
Adventure, Mystery, Sci-Fi            ","554,870","$126.48M","
    Director:
Ridley Scott
                 | 
    Stars:
Noomi Rapace, 
Logan Marshall-Green, 
Michael Fassbender, 
Charlize Theron
    ","
    Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
"65.","Frozen","7.4","(I) (2013)","102 min","
Animation, Adventure, Comedy            ","553,014","$400.74M","
    Directors:
Chris Buck, 
Jennifer Lee
                 | 
    Stars:
Kristen Bell, 
Idina Menzel, 
Jonathan Groff, 
Josh Gad
    ","
    When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
"66.","Drive","7.8","(I) (2011)","100 min","
Crime, Drama            ","549,151","$35.06M","
    Director:
Nicolas Winding Refn
                 | 
    Stars:
Ryan Gosling, 
Carey Mulligan, 
Bryan Cranston, 
Albert Brooks
    ","
    A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor in this action drama."
"67.","Thor: Ragnarok","7.9","(2017)","130 min","
Action, Adventure, Comedy            ","547,866","$315.06M","
    Director:
Taika Waititi
                 | 
    Stars:
Chris Hemsworth, 
Tom Hiddleston, 
Cate Blanchett, 
Mark Ruffalo
    ","
    Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnar<U+00F6>k, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
"68.","The Amazing Spider-Man","6.9","(2012)","136 min","
Action, Adventure, Sci-Fi            ","544,563","$262.03M","
    Director:
Marc Webb
                 | 
    Stars:
Andrew Garfield, 
Emma Stone, 
Rhys Ifans, 
Irrfan Khan
    ","
    After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe."
"69.","Ant-Man","7.3","(2015)","117 min","
Action, Adventure, Comedy            ","542,726","$180.20M","
    Director:
Peyton Reed
                 | 
    Stars:
Paul Rudd, 
Michael Douglas, 
Corey Stoll, 
Evangeline Lilly
    ","
    Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world."
"70.","Guardians of the Galaxy Vol. 2","7.6","(2017)","136 min","
Action, Adventure, Comedy            ","536,544","$389.81M","
    Director:
James Gunn
                 | 
    Stars:
Chris Pratt, 
Zoe Saldana, 
Dave Bautista, 
Vin Diesel
    ","
    The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
"71.","Star Wars: Episode VIII - The Last Jedi","7.0","(2017)","152 min","
Action, Adventure, Fantasy            ","535,235","$620.18M","
    Director:
Rian Johnson
                 | 
    Stars:
Daisy Ridley, 
John Boyega, 
Mark Hamill, 
Carrie Fisher
    ","
    Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order."
"72.","Rogue One: A Star Wars Story","7.8","(2016)","133 min","
Action, Adventure, Sci-Fi            ","527,799","$532.18M","
    Director:
Gareth Edwards
                 | 
    Stars:
Felicity Jones, 
Diego Luna, 
Alan Tudyk, 
Donnie Yen
    ","
    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans."
"73.","Wonder Woman","7.4","(2017)","141 min","
Action, Adventure, Fantasy            ","525,486","$412.56M","
    Director:
Patty Jenkins
                 | 
    Stars:
Gal Gadot, 
Chris Pine, 
Robin Wright, 
Lucy Davis
    ","
    When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
"74.","Looper","7.4","(2012)","113 min","
Action, Adventure, Crime            ","519,762","$66.49M","
    Director:
Rian Johnson
                 | 
    Stars:
Joseph Gordon-Levitt, 
Bruce Willis, 
Emily Blunt, 
Paul Dano
    ","
    In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
"75.","Dunkirk","7.9","(2017)","106 min","
Action, Drama, History            ","514,169","$188.37M","
    Director:
Christopher Nolan
                 | 
    Stars:
Fionn Whitehead, 
Barry Keoghan, 
Mark Rylance, 
Tom Hardy
    ","
    Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II."
